text,testament,book,chapter,verse,duration_seconds,speaker_id,filename,everyvoice_utmos,everyvoice_asr_hyp,everyvoice_wer
Ẹ gbinájẹ fún ìṣekúṣe láàrín igi óákù àti lábẹ́ gbogbo igi tí ń gbilẹ̀; ẹ fi àwọn ọmọ yín rú ẹbọ nínú kòtò jíjìn àti lábẹ́ àwọn pàlàpálá òkúta.,Old Testament,Isaiah,57,5,12.57,SPEAKER_00,ISA_057_Verse_005.wav,2.30859375,ẹ gbinlájẹ fún ìṣekúṣe láàrín igi óákù àti lábẹ́ gbogbo igi tí ń gbilẹ̀ ẹ fi àwọn ọmọ yín rú ẹbọ nínú kòtò jíjìn àti lábẹ́ àwọn pàlàpálá òkúta,0.13793103448275862
"Nígbà náà ni Juda wí pé, “Jẹ́ kí ó máa kó àwọn ohun tí ó wà lọ́wọ́ rẹ̀ lọ bí kò ṣe bẹ́ẹ̀ a ó di ẹlẹ́yà. Mo sá à fi ọmọ ewúrẹ́ ránṣẹ́ sí i, ṣùgbọ́n ìwọ kò rí òun.”",Old Testament,Genesis,38,23,12.94,SPEAKER_00,GEN_038_Verse_023.wav,1.984375,nígbà náà ni juda wí pé jẹ́ kí ó máa kó àwọn ohun tí ó wà lọ́wọ́ rẹ lọ bí kò ṣe bẹ́ẹ̀ a ó di ẹlẹ́yà mo sá à fi ọmọ ewúrẹ́ ránṣẹ́ sí i ṣùgbọ́n ìwọ kò rí òun,0.21951219512195122
"Wọ̀nyí ni àwọn ìránṣẹ́ Aaroni: Eleasari ọmọ rẹ̀, Finehasi ọmọ rẹ̀, Abiṣua ọmọ rẹ̀,",Old Testament,1 Chronicles,6,50,8.77,SPEAKER_00,1CH_006_Verse_050.wav,2.484375,wọ̀nyí ni àwọn ìránṣẹ́ aaroni eleasari ọmọ rẹ̀ finehasi ọmọ rẹ̀ abiṣa ọmọ rẹ̀,0.5714285714285714
"Pilatu sì pàṣẹ pé, “Ẹ lo àwọn olùṣọ́ yín kí wọn dáàbò bo ibojì náà bí ẹ bá ti fẹ́.”",New Testament,Matthew,27,65,9.28,SPEAKER_00,MAT_027_Verse_065.wav,2.2890625,pilatu sì pàṣẹ pé ẹ lo àwọn olùṣọ́ yín kí wọn dáàbò bo ibojì náà bí ẹ bá ti fẹ́,0.2
"Nígbà tí ó sì lọ ní ọjọ́ kejì, ó fi owó idẹ méjì fún olórí ilé èrò ó sì wí fún un pé, ‘Máa tọ́jú rẹ̀; ohunkóhun tí ìwọ bá sì ná kún un, nígbà tí mo bá padà dé, èmi ó san án fún ọ.’",New Testament,Luke,10,35,15.79,SPEAKER_00,LUK_010_Verse_035.wav,1.9384765625,nígbà tí ó sì lọ ní ọjọ́ kejì ó fi owó ìdè méjì fún olórí ilé èrò ó sì wí fún un pé máa tọ́jú rẹ̀ ohunkóhun tí ìwọ bá sì nàkùn nígbà tí mo bá padà dé èmi ó san fún ọ,0.2608695652173913
"“Èmi dàbí ẹni tí a ń fi ṣe ẹlẹ́yà lọ́dọ̀ aládùúgbò rẹ̀, tí ó ké pe Ọlọ́run, tí ó sì dá a lóhùn, à ń fi olóòtítọ́ ẹni ìdúró ṣinṣin rẹ́rìn-ín ẹlẹ́yà!",Old Testament,Job,12,4,10.05,SPEAKER_00,JOB_012_Verse_004.wav,1.8681640625,èmi dàbí ẹni tí a ń fi ṣe ẹlẹ́yà lọ́dọ̀ aládùúgbò rẹ̀ tí ó ké pe ọlọ́run tí ó sì dá a lóhùn a ń fi olóòtítọ́ ẹni ìdúró ṣinṣin rẹ́rìn-ín ẹlẹ́yà,0.1875
"Àwọn ọmọ rẹ̀ yóò múra ogun wọn yóò kó ogun ńlá jọ, èyí tí a ó gbá lọ bí àgbàrá omi ńlá, yóò sì gbá a lọ títí dé ìlú olódi rẹ̀.",Old Testament,Daniel,11,10,12.28,SPEAKER_00,DAN_011_Verse_010.wav,1.7880859375,àwọn ọmọ rẹ̀ yóò múra ogun wọn yóò kó ogun ńlá jọ èyí tí a ó gbá lọ bí àgbàrá omi ńlá yóò sì gbá a lọ títí dé ìlú olódi rẹ̀,0.125
"Láti ibẹ̀, ó lọ sí Penieli ó sì bẹ̀ wọ́n bẹ́ẹ̀ gẹ́gẹ́, ṣùgbọ́n àwọn náà dá a lóhùn bí àwọn ará Sukkoti ti dá a lóhùn.",Old Testament,Judges,8,8,8.18,SPEAKER_00,JDG_008_Verse_008.wav,2.09765625,láti ibẹ̀ ó lọ sí penili ó sì bẹ̀ wọ́n bẹ́ẹ̀ gẹ́gẹ́ ṣùgbọ́n àwọn náà dá a lóhùn bí àwọn ará sokoti ti dá a lóhùn,0.23076923076923078
"Jesu sì dá wọn lóhùn pé, “Wákàtí náà dé, tí a ó ṣe Ọmọ Ènìyàn lógo.",New Testament,John,12,23,7.03,SPEAKER_00,JHN_012_Verse_023.wav,2.06640625,jesu sì dá wọn lóhùn pé wákàtí náà dé tí a ó ṣe ọmọ ènìyàn lógo,0.4375
"Nítorí náà, mú ìjayà kúrò ní ọkàn rẹ kí o sì lé ìbànújẹ́ ara rẹ kúrò nítorí èwe àti kékeré kò ní ìtumọ̀.",Old Testament,Ecclesiastes,11,10,10.53,SPEAKER_00,ECC_011_Verse_010.wav,2.146484375,nítorí náà mú ìjàyà kúrò ní ọkàn rẹ kí o sì lé ìbànújẹ́ ara rẹ kúrò nítorí èwe àti kékeré kò ní ìtumọ̀,0.17391304347826086
"Ó sì pa òwe kan fún àwọn tí ó pè é wá jẹun, nígbà tí ó ṣàkíyèsí bí wọ́n ti ń yan ipò ọlá; ó sì wí fún wọn pé,",New Testament,Luke,14,7,10.57,SPEAKER_00,LUK_014_Verse_007.wav,2.201171875,ó sì pa òwe kan fún àwọn tí ó pè é wá jẹun nígbà tí ó ṣàkíyèsí bí wọ́n ti ń yan ipò ọlá ó sì wí fún wọn pé,0.13333333333333333
"Ẹ gbọdọ̀ mọ ìyàtọ̀ láàrín mímọ́ àti àìmọ́, láàrín èérí àti àìléèérí.",Old Testament,Leviticus,10,10,7.33,SPEAKER_00,LEV_010_Verse_010.wav,2.021484375,ẹ gbọdọ̀ mọ ìyàtọ̀ láàrín mímọ́ àti àìmọ́ láàrín eérí àti àìlérí,0.3333333333333333
"Ọlọ́run, má ṣe dákẹ́; má ṣe dákẹ́, Ọlọ́run má ṣe dúró jẹ́ẹ́.",Old Testament,Psalms,83,1,4.85,SPEAKER_00,PSA_083_Verse_001.wav,1.5849609375,ọlọ́run má ṣe dákẹ́ má ṣe dákẹ́ ọlọ́run má ṣe dúró jẹ́ ẹ́,0.5
"“Ilẹ̀ pápá oko tútù káàkiri ìlú tí ẹ ó fi fún àwọn ọmọ Lefi, wíwọ̀n rẹ̀ yóò jẹ́ ẹgbẹ̀rún ìgbọ̀nwọ́ (1,500 ẹsẹ̀ bàtà) láti ògiri ìlú náà.",Old Testament,Numbers,35,4,11.99,SPEAKER_00,NUM_035_Verse_004.wav,1.873046875,ilẹ̀ pápá oko tútù káàkiri ìlú ti ẹ ó fi fún àwọn ọmọ lefi wíwọ̀n rẹ̀ yóò jẹ́ ẹgbẹ̀rún ìgbọ̀nwọ́ ẹsẹ̀ bàtà láti ògiri ìlú náà,0.2222222222222222
"Nítorí ìdúró yin lábẹ́ ìdánwò iṣẹ́ ìsìn yìí, wọn yóò yin Ọlọ́run lógo fún ìgbọ́ràn yín ní gbígba ìyìnrere Kristi àti nípa ìlawọ́ ìdáwó yín fún wọn àti fún gbogbo ènìyàn.",New Testament,2 Corinthians,9,13,14.41,SPEAKER_00,2CO_009_Verse_013.wav,2.859375,nítorí ìdúró yín lábẹ́ ìdánwò iṣẹ́ ìsìn yìí wọn yóò yin ọlọ́run lógo fún ìgbọ́ràn yín ni gbígba ìyìnrere kristi àti nípa ìlawọ́ ìdáwọ́ yín fún wọn àti fún gbogbo ènìyàn,0.25806451612903225
Pẹ̀lúpẹ̀lú ìgbà àìmọ̀ yìí ni Ọlọ́run tí fojú fò dá; ṣùgbọ́n nísinsin yìí ó pàṣẹ fún gbogbo ènìyàn níbi gbogbo láti ronúpìwàdà.,New Testament,Acts,17,30,9.77,SPEAKER_00,ACT_017_Verse_030.wav,2.611328125,pẹ̀lúpẹ̀lú ìgbà ìmọ̀ yìí ni ọlọ́run ti fojú fò dá ṣùgbọ́n nísinsin yìí ó pàṣẹ fún gbogbo ènìyàn níbi gbogbo láti ronúpìwàdà,0.2727272727272727
"Ẹlẹ́rìí èké yóò ṣègbé: ṣùgbọ́n ọ̀rọ̀ ẹni tí ó gbọ́, yóò dúró.",Old Testament,Proverbs,21,28,4.53,SPEAKER_00,PRO_021_Verse_028.wav,1.3046875,ẹlẹ́rìí èké yóò ṣègbé ṣùgbọ́n ọ̀rọ̀ ẹni tí ó gbọ́ yóò dúró,0.3333333333333333
"Saulu ti ní àlè kan, orúkọ rẹ̀ sì ń jẹ́ Rispa, ọmọbìnrin Aiah: Iṣboṣeti sì bi Abneri léèrè pé, “Èéṣe tí ìwọ fi wọlé tọ àlè baba mi lọ.”",Old Testament,2 Samuel,3,7,10.72,SPEAKER_00,2SA_003_Verse_007.wav,2.306640625,saulu ti ní àlè kan orúkọ rẹ̀ sì ń jẹ́ rispa ọmọbìnrin ayah iṣuboṣeti sì bi amneeli léèrè pé èéṣe tí ìwọ fi wọlé tọ àlè baba mi lọ,0.3103448275862069
Èéṣe tí a kò fi ṣe búburú kí rere lè jáde wá? Bí àwọn kan tí ń fi ẹnu àtẹ́ sọ wí pé a ń sọ bẹ́ẹ̀; ti àwọn kan sì ń tẹnumọ́ ọn pé a sọ; àwọn ẹni tí ìdálẹ́bi wọn tọ́. Kò sí olóòtítọ́ kan,New Testament,Romans,3,8,20.97,SPEAKER_00,ROM_003_Verse_008.wav,2.6640625,èéṣe tí a kò fi ṣe búburú kí rere lè jáde wá bí àwọn kan tí ń fi ẹnu àtẹ́ sọ wí pé a ń sọ bẹ́ẹ̀ tí àwọn kan sì ń tẹnumọ́ ọn pé a sọ àwọn ẹni tí ìdálẹ́bi wọn tọ́ ọ́,0.23404255319148937
"Mo kọjá níbi oko ọ̀lẹ, mo kọjá níbi ọgbà àjàrà aláìgbọ́n ènìyàn;",Old Testament,Proverbs,24,30,5.2,SPEAKER_00,PRO_024_Verse_030.wav,2.625,mo kọjá níbi okù ọ̀lẹ mo kọjá níbi ọgbà àjàrà aláìgbọ́n ènìyàn,0.3333333333333333
"nítorí pé wọn yóò gbẹ bí i koríko, wọn yóò sì rẹ̀ dànù bí ewéko tútù.",Old Testament,Psalms,37,2,6.22,SPEAKER_00,PSA_037_Verse_002.wav,2.064453125,nítorí pé wọn yóò gbẹ bí koríko ò wọn yóò sì rẹ́ dànù bí ewéko tútù,0.25
"nítorí náà, báyìí ní Olúwa Olódùmarè wí, kíyèsi i, èmí dojúkọ ọ́ ìwọ tire, Èmi yóò sì jẹ́ kí Orílẹ̀-èdè púpọ̀ dìde sí ọ, gẹ́gẹ́ bí Òkun tí ru sókè.",Old Testament,Ezekiel,26,3,13.74,SPEAKER_00,EZK_026_Verse_003.wav,2.37109375,nítorí náà báyìí ni olúwa olódùmarè wí kíyèsi i èmi dojúkọ ìwọ tire èmi yóò sì jẹ́ kí orílẹ̀-èdè púpọ̀ dìde sí ọ gẹ́gẹ́ bí òkun ti ru sókè,0.5
"Ikú àti ìparun ṣí sílẹ̀ níwájú Olúwa, mélòó mélòó ní nínú ọkàn àwọn ènìyàn.",Old Testament,Proverbs,15,11,6.22,SPEAKER_00,PRO_015_Verse_011.wav,2.267578125,ikú àti ìparun ṣí sílẹ̀ níwájú olúwa mélòó mélòó ni nínú ọkàn àwọn ènìyàn,0.2857142857142857
"Hamori sì bá wọn sọ̀rọ̀ pé, “Ọkàn ọmọ mi Ṣekemu fà sí ọmọ rẹ. Jọ̀wọ́ fi fún un gẹ́gẹ́ bí aya.",Old Testament,Genesis,34,8,8.88,SPEAKER_00,GEN_034_Verse_008.wav,2.609375,amori sì bá wọn sọ̀rọ̀ pé ọkàn ọmọ mi ṣekemu fà sí ọmọ rẹ jọ̀wọ́ fi fún un gẹ́gẹ́ bí àyà,0.3333333333333333
"Ohun yówù kó ṣẹlẹ̀, ẹ jẹ́ kí ìgbé ayé yín ri gẹ́gẹ́ bí ìyìnrere Kristi: pé yálà bi mo tilẹ̀ wá wò yín, tàbí bí èmi kò wá, kí èmi kí ó lè máa gbúròó bí ẹ ti ń ṣe, pé ẹ̀yin dúró ṣinṣin nínú Ẹ̀mí kan, ẹ̀yin jùmọ̀ jìjàkadì nítorí ìgbàgbọ́ ìyìnrere, pẹ̀lú ọkàn kan.",New Testament,Philippians,1,27,21.18,SPEAKER_00,PHP_001_Verse_027.wav,2.23828125,òun yóò wù kó ṣẹlẹ̀ ẹ jẹ́ kí ìgbé ayé yín rí i gẹ́gẹ́ bí ìyìnrere kristi pé yálà bí mo tilẹ̀ wá wò yín tàbí bí èmi kò wá kí èmi kí ó lè máa gbórò bí ẹ ti ń ṣe pé ẹ̀yin dúró ṣinṣin nínú ẹ̀mí kan ẹ̀yin jùmọ̀ jìjàkadì nítorí ìgbàgbọ́ ìyìnrere pẹ̀lú ọ̀kan kan,0.30357142857142855
"Èyí tí ó kọ jáde jẹ́ ọmọ pupa, irun sì bo gbogbo ara rẹ̀ bí aṣọ onírun, nítorí náà, wọ́n pè é ní Esau.",Old Testament,Genesis,25,25,8.59,SPEAKER_00,GEN_025_Verse_025.wav,2.388671875,èyí tí ó kọ jáde jẹ́ ọmọ pupa irun sì bu gbogbo ara rẹ̀ bí aṣọ nírun nítorí náà wọ́n wọ́n wọ́n pe,0.375
Olúwa kórìíra ìrúbọ àwọn ènìyàn búburú ṣùgbọ́n àdúrà olódodo tẹ́ ẹ lọ́rùn.,Old Testament,Proverbs,15,8,5.46,SPEAKER_00,PRO_015_Verse_008.wav,1.0625,olúwa kórìíra ìrúbọ àwọn ènìyàn búburú ṣùgbọ́n àdúrà olódo tẹ́ ẹ lọ́run,0.25
Jesu sì pe àwọn ọmọ-ẹ̀yìn rẹ̀ méjìlá sí ọ̀dọ̀; ó fún wọn ní àṣẹ láti lé ẹ̀mí àìmọ́ jáde àti láti ṣe ìwòsàn ààrùn àti àìsàn gbogbo.,New Testament,Matthew,10,1,11.88,SPEAKER_00,MAT_010_Verse_001.wav,2.572265625,jesu sì pe àwọn ọmọ-ẹ̀yìn rẹ̀ méjìlá sí ọ̀dọ̀ ó fún wọn ní àṣẹ láti lé ẹ̀mí àìmọ́ jáde àti láti ṣe ìwòsàn ààrùn àti àìsàn gbògbò,0.1111111111111111
"“Ẹ fi owó idẹ kan hàn mí. Àwòrán àti àkọlé ti ta ni ó wà níbẹ̀?” Wọ́n sì dá a lóhùn pé, “Ti Kesari ni.”",New Testament,Luke,20,24,10.24,SPEAKER_00,LUK_020_Verse_024.wav,1.951171875,ẹ fi owó idẹ kan hàn mí àwòrán àti àkọlé ti ta ni ó wà níbẹ̀ wọ́n sì dá a lóhùn pé ti kesari ni,0.36
"ẹlẹ́ẹ̀kẹtàlélógún sí Mahasiotu, àwọn ọmọ rẹ àti ìdílé rẹ̀ sì jẹ́, méjìlá",Old Testament,1 Chronicles,25,30,6.94,SPEAKER_00,1CH_025_Verse_030.wav,2.658203125,ẹlẹ́ẹ̀kẹtàlélógún sì máa seotu àwọn ọmọ rẹ̀ àti ìdílé rẹ̀ sì jẹ ẹ́ míjìlá,0.5833333333333334
Ó wo àwọn tí ọkàn wọ́n bàjẹ́ sàn ó sì di ọgbẹ́ wọ́n.,Old Testament,Psalms,147,3,3.91,SPEAKER_00,PSA_147_Verse_003.wav,2.0390625,ó wo àwọn tí ọkàn wọn bàjẹ́ sàn ó sì dí ọgbẹ́ wọ́n,0.3076923076923077
"“ ‘Ṣùgbọ́n àwọn onídàájọ́ yóò jókòó, nígbà náà ni a ó gba agbára rẹ̀, a ó sì pa á rùn pátápátá títí ayé.",Old Testament,Daniel,7,26,9.36,SPEAKER_00,DAN_007_Verse_026.wav,2.28515625,ṣùgbọ́n àwọn onídàájọ́ yóò jókòó nígbà náà ni a ó gba agbára rẹ̀ a ó sì pa á rùn pátápátá títí ayé,0.21739130434782608
"Ṣùgbọ́n nísinsin yìí ìjọba rẹ kì yóò dúró pẹ́, Olúwa ti wá ọkùnrin tí ó wù ú ní ọkàn rẹ̀ fún ara rẹ̀, ó sì ti yàn án láti ṣe olórí fún àwọn ènìyàn rẹ̀, nítorí pé ìwọ kò pa òfin Olúwa mọ́.”",Old Testament,1 Samuel,13,14,11.95,SPEAKER_00,1SA_013_Verse_014.wav,2.71484375,ṣùgbọ́n nísinsin yìí ìjọba rẹ̀ kí yóò dúró pẹ́ olúwa ti wá ọkùnrin tí ó wù ú ní ọkàn rẹ̀ fún ara rẹ̀ ó sì ti yàn láti ṣe olórí fún àwọn ènìyàn rẹ̀ nítorí pé ìwọ kò pa òfin olúwa mọ́,0.23255813953488372
"ṣùgbọ́n ní ọjọ́ náà tí Lọti jáde kúrò ní Sodomu, òjò iná àti sulfuru rọ̀ láti ọ̀run wá, ó sì run gbogbo wọn.",New Testament,Luke,17,29,9.05,SPEAKER_00,LUK_017_Verse_029.wav,1.9384765625,ṣùgbọ́n ní ọjọ́ náà tí lọti jáde kúrò ní sodomu òjò iná àti sulfuru rọ̀ láti ọ̀run wá ó sì run gbogbo wọn,0.17391304347826086
"Ó sì bá wọn sọ̀kalẹ̀, ó sì dúró ní pẹ̀tẹ́lẹ̀, pẹ̀lú ọ̀pọ̀ àwọn ọmọ-ẹ̀yìn rẹ̀, àti ọ̀pọ̀ ìjọ ènìyàn, láti gbogbo Judea, àti Jerusalẹmu, àti agbègbè Tire àti Sidoni, tí wọ́n wá láti gbọ́ ọ̀rọ̀ rẹ̀, àti láti gba ìmúláradá kúrò nínú ààrùn wọn;",New Testament,Luke,6,17,19.38,SPEAKER_00,LUK_006_Verse_017.wav,2.0390625,ó sì bá wọn sọ̀kalẹ̀ ó sì dúró ní pẹ̀tẹ́lẹ̀ pẹ̀lú ọ̀pọ̀ àwọn ọmọ-ẹ̀yìn rẹ̀ àti ọ̀pọ̀ ìjọ ènìyàn láti gbogbo judea àti jerusalẹmu àti agbègbè tire àti sidoni tí wọ́n wá láti gbọ́ ọ̀rọ̀ rẹ̀ àti láti gba ìmúláradá kúrò nínú ààrùn wọn,0.25
"Ìbùkún ni fún àwọn ènìyàn náà tí ó wà ní irú ipò bẹ́ẹ̀, ìbùkún ni fún àwọn ènìyàn náà, tí ẹni tí Ọlọ́run Olúwa ń ṣe.",Old Testament,Psalms,144,15,10.68,SPEAKER_00,PSA_144_Verse_015.wav,2.169921875,ìbùkún ni fún àwọn ènìyàn náà tí ó wà ní irú ipò bẹ́ẹ̀ ìbùkún ni fún àwọn ènìyàn náà tí ẹni tí ọlọ́run olúwa ń ṣe,0.23076923076923078
"Ọ̀rọ̀ yìí ya àwọn ọmọ-ẹ̀yìn rẹ̀ lẹ́nu. Jesu tún sọ fún wọn pé, “Ẹyin ọmọ yóò tí ṣòro tó fún àwọn tí ó ní ìgbẹ́kẹ̀lé nínú ọrọ̀ láti wọ ìjọba Ọlọ́run.",New Testament,Mark,10,24,12.69,SPEAKER_00,MRK_010_Verse_024.wav,2.294921875,jesu tún sọ fún wọn pé ẹyin ọmọ yóò ti ṣòro tó fún àwọn tí ó ní ìgbẹ́kẹ̀lé nínú ọ̀rọ̀ láti wọ ìjọba ọlọ́run mọ́,0.45161290322580644
"Èmi yóò fún yín ni ọkàn tuntun, èmi yóò sì fi ẹ̀mí tuntun sínú yín; Èmi yóò sì mú ọkàn òkúta kúrò nínú yín, èmi yóò sì fi ọkàn ẹran fún yín.",Old Testament,Ezekiel,36,26,12.06,SPEAKER_00,EZK_036_Verse_026.wav,2.392578125,èmi yóò fún yín ni ọkàn tuntun èmi yóò sì fi ẹ̀mí tuntun sínú yín èmi yóò sì mú ọkàn òkúta kúrò nínú yín èmi yóò sì fi ọkàn ẹran fún yín,0.1875
"Ohunkóhun tí Saulu bá rán an láti ṣe, Dafidi máa ṣe ní àṣeyọrí, Saulu náà sì fun un ní ipò tí ó ga jù láàrín àwọn ológun. Eléyìí sì tẹ́ gbogbo ènìyàn lọ́rùn, àti pẹ̀lú ó sì tẹ́ àwọn ìjòyè Saulu lọ́rùn pẹ̀lú.",Old Testament,1 Samuel,18,5,14.88,SPEAKER_00,1SA_018_Verse_005.wav,2.673828125,ohunkóhun tí saulu bá rán láti ṣè dafidi máa ṣe ní àṣeyọrí saulu náà sì fún un ní ipò tí ó ga jù láàrín àwọn ológun eléyìí sì tẹ́ gbogbo ènìyàn lọ́rùn àti pẹ̀lú ó sì tẹ́ àwọn ìjòyè saulu lọ́run pẹ̀lú,0.32558139534883723
"Ṣùgbọ́n Peteru àti Johanu dáhùn, wọ́n sì wí fún wọn pé, “Bí ó bá tọ́ lójú Ọlọ́run láti gbọ́ tiyín ju ti Ọlọ́run lọ ẹ gbà á rò.",New Testament,Acts,4,19,10.62,SPEAKER_00,ACT_004_Verse_019.wav,3.169921875,ṣùgbọ́n peteru àti johanu dáhùn wọ́n sì wí fún wọn pé bí ó bá tọ́ lójú ọlọ́run láti gbọ́ tiyín ju ti ọlọ́run lọ ẹ gbà á ro,0.32142857142857145
"Kíyèsi, ìgbìyànjú láti mú un ní asán; ní kìkì ìrí rẹ̀ ara kì yóò ha rọ̀ ọ́ wẹ̀sì?",Old Testament,Job,41,9,6.42,SPEAKER_00,JOB_041_Verse_009.wav,1.89453125,kíyèsi i ìgbìyànjú láti mú un ní asán ní kèkèrè rẹ̀ ara kì yóò ha rọ̀ ọ́ wẹ̀sì,0.3333333333333333
"Dafidi sì gba àṣà wúrà tí ó wà lára àwọn ìránṣẹ́ Hadadeseri, ó sì gbé wọn wá sí Jerusalẹmu.",Old Testament,2 Samuel,8,7,6.76,SPEAKER_00,2SA_008_Verse_007.wav,2.408203125,jadedi sì gba àṣà wúrà tí ó wà lára àwọn ìránṣẹ́ hadadeseri ó sì gbé wọn wá sí jerusalẹmu,0.15789473684210525
"Nígbà tí Olórí Olùṣọ́-àgùntàn bá sì fi ara hàn, ẹ̀yin ó gba adé ògo ti kì í sá.",New Testament,1 Peter,5,4,6.06,SPEAKER_00,1PE_005_Verse_004.wav,1.6923828125,nígbà tí olórí olùṣọ́-àgùntàn bá sì fi ara hàn ẹ̀yin ó gba adé ògo tí kì í sá,0.3333333333333333
"Fún ẹni tí ó bá tẹ́ Ọlọ́run lọ́rùn ni Ọlọ́run yóò fún ní ọgbọ́n, ìmọ̀ àti ìdùnnú, ṣùgbọ́n fún ẹni dẹ́ṣẹ̀, Ó fún un ní iṣẹ́ láti ṣà àti láti kó ohun ìní pamọ́ kí ó sì fi fún ẹni tí ó tẹ́ Ọlọ́run lọ́rùn. Eléyìí pẹ̀lú, asán ni, ó dàbí ẹni gbìyànjú àti mú afẹ́fẹ́.",Old Testament,Ecclesiastes,2,26,21.51,SPEAKER_00,ECC_002_Verse_026.wav,2.712890625,fún ẹni tí ó bá tẹ́ ọlọ́run lọ́run ni ọlọ́run yóò fún ní ọgbọ́n ìwọ̀n àti ìdùnnú ṣùgbọ́n fún ẹni dẹ́ṣẹ̀ ó fún un ní iṣẹ́ láti ṣà àti láti kó ohun ẹni pamọ́ kí ó sì fi fún ẹni tí ó tẹ́ ọlọ́run lọ́rùn eléyìí pẹ̀lú asán ni ó dàbí ẹni gbìyànjú àti imú afẹ́fẹ́,0.30357142857142855
"Jakọbu, Peteru, àti Johanu, àwọn ẹni tí ó dàbí ọ̀wọ́n, fún èmi àti Barnaba ni ọwọ́ ọ̀tún ìdàpọ̀ nígbà tí wọ́n rí oore-ọ̀fẹ́ tí a fi fún mi, wọ́n sì gbà pé kí àwa náà tọ àwọn aláìkọlà lọ, nígbà ti àwọn náà lọ sọ́dọ̀ àwọn Júù.",New Testament,Galatians,2,9,19.38,SPEAKER_00,GAL_002_Verse_009.wav,2.46875,jakọbu peteru àti johanu àwọn ẹni tí ó dàbí ọ̀wọ́n fún èmi àti barnaba ní ọwọ́ ọ̀tún ìdàpọ̀ nígbà tí wọ́n rí oore-ọ̀fẹ́ tí a fi fún mi wọ́n sì gbà pé kí àwa náà tọ àwọn aláìkọlà lọ nígbà tí àwọn náà lọ sọ́dọ̀ àwọn júù,0.2127659574468085
"“Àmì yóò sì wà ní oorun, àti ní òṣùpá, àti ní ìràwọ̀; àti lórí ilẹ̀ ayé ìdààmú fún àwọn orílẹ̀-èdè nínú ìpayà híhó Òkun àti ìgbì omi.",New Testament,Luke,21,25,12.74,SPEAKER_00,LUK_021_Verse_025.wav,1.9794921875,àmì yóò sì wà ní oorun àti ní òṣùpá àti ní ìràwọ̀ àti lórí ilẹ̀ ayé ìdààmú fún àwọn orílẹ̀-èdè nínú ìpayà ihó òkun àti ìgbì omi,0.25925925925925924
"Ṣùgbọ́n Abiṣai ọmọ Seruiah dáhùn ó sì wí pé, “Kò ha tọ́ kí a pa Ṣimei nítorí èyí? Nítorí pé òun ti bú ẹni àmì òróró Olúwa.”",Old Testament,2 Samuel,19,21,9.7,SPEAKER_00,2SA_019_Verse_021.wav,2.521484375,ṣùgbọ́n abiṣai ọmọ siria dáhùn ó sì wí pé kò ha tọ́ kí a pa sí mì nítorí èyí nítorí pé òun ti bu ẹni àmì òróró olúwa,0.4074074074074074
"Wọ̀nyí ni ìdílé àwọn ọmọ Sebuluni gẹ́gẹ́ bí àwọn tí a kà nínú wọn tí iye wọn sì jẹ́ ọ̀kẹ́ mẹ́ta ó lé lẹ̀ẹ́dẹ́gbẹ̀ta (60,500).",Old Testament,Numbers,26,27,8.92,SPEAKER_00,NUM_026_Verse_027.wav,2.3828125,wọ̀nyí ni ìdílé àwọn ọmọ sebuluni gẹ́gẹ́ bí àwọn tí a kà nínú wọn tí iye wọn sì jẹ́ ọ̀kẹ́ mẹ́ta ó lélẹ̀ dẹ́gbẹ̀ta,0.2
"Jesu wí fún wọn pé, “Lóòótọ́ ni mo wí fún yín, bí ẹ̀yin bá lè ní ìgbàgbọ́ láìṣiyèméjì, nígbà náà ẹ̀yin yóò lè ṣe irú ohun tí a ṣe sí igi ọ̀pọ̀tọ́, ẹ̀yin yóò lè sọ fún òkè yìí pé, ‘Yí ipò padà sínú Òkun,’ yóò sì rí bẹ́ẹ̀.",New Testament,Matthew,21,21,18.83,SPEAKER_00,MAT_021_Verse_021.wav,2.091796875,jesu wí fún wọn pé lóòótọ́ ni mo wí fún yín bí ẹ̀yin bá lè ní ìgbàgbọ́ láìṣe méjì nígbà náà ẹ̀yin yóò lè ṣe irú ohun tí a ṣe sí igi ọ̀pọ̀tọ́ ẹ̀yin yóò lè sọ fún òkè yí pé yí ìpò padà sínú òkun yóò sì rí bẹ́ẹ̀,0.2653061224489796
Èmi ó pèsè ìbùkún sórí yín tó bẹ́ẹ̀ tí ilẹ̀ yín yóò so èso tó tó fún ọdún mẹ́ta lẹ́yìn rẹ̀.,Old Testament,Leviticus,25,21,7.12,SPEAKER_00,LEV_025_Verse_021.wav,1.7041015625,èmi ó pèsè ìbùkún sórí yín tó bẹ́ẹ̀ ti ilẹ̀ yín yóò so èso tó tó fún ọdún mẹ́ta lẹ́yìn rẹ̀,0.14285714285714285
